Name,Reporting Code,CurrencyIsoCode,Type,Allow Revaluation,Balance Sheet 1,Cash Flow Category,GLA Group,Reclassify Profits,Trial Balance 1,Trial Balance 2,Trial Balance 3,Trial Balance 4
6120 - Lodging,6120,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,EBITDA,Travel Expenses,
6200 - Salaries and wages,6200,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,EBITDA,Staff Costs,
6201 - Salaries and wages Costs Recognized,6201,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,EBITDA,Staff Costs,
6202 - Salaries and wages Costs Deferred,6202,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,EBITDA,Staff Costs,
6210 - Employee benefits,6210,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,EBITDA,Staff Costs,
6220 - Moving Expenses,6220,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,EBITDA,Staff Costs,
6230 - Sales Commissions,6230,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,EBITDA,Staff Costs,
6300 - Advertising,6300,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,EBITDA,Marketing Expenses,
6400 - R&D,6400,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,EBITDA,Administration Costs,
7000 - Interest income,7000,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,Interest and Taxation,Finance Costs,
7010 - Other expense,7010,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,Interest and Taxation,Finance Costs,
7020 - Bank charges,7020,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,EBITDA,Other Income and Expenses,
7030 - Realized Gain/Loss on Currency Exchange,7030,USD,Profit and Loss,FALSE,,Operating Activities,,FALSE,Profit and Loss,EBITDA,Other Income and Expenses,
7040 - Settlement discounts,7040,USD,Profit and Loss,FALSE,,Operating Activities,,FALSE,Profit and Loss,Interest and Taxation,Finance Costs,
7050 - Write-offs,7050,USD,Profit and Loss,FALSE,,Operating Activities,,FALSE,Profit and Loss,EBITDA,Other Income and Expenses,
7100 - Interest expense,7100,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,Interest and Taxation,Finance Costs,
7200 - Income taxes,7200,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,Interest and Taxation,Taxation,
8000 - Extraordinary item,8000,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,EBITDA,Other Income and Expenses,
8010 - Other,8010,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,EBITDA,Other Income and Expenses,
8030 - Unrealized Gain/Loss on Currency Exchange,8030,USD,Profit and Loss,FALSE,,Operating Activities,,FALSE,Profit and Loss,Interest and Taxation,Finance Costs,
8999 - Eliminations,8999,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,EBITDA,Other Income and Expenses,
9000 - Clearing,9000,USD,Balance Sheet,FALSE,,Investing Activities,,FALSE,Balance Sheet,Intangible Assets,Intangible Assets,
9999 - Corporate Suspense,9999,USD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,EBITDA,Other Income and Expenses,
9999 - Corporate Suspense - GBP,9999-GBP,GBP,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,EBITDA,Other Income and Expenses,
9999 - Corporate Suspense - AUD,9999-AUD,AUD,Profit and Loss,FALSE,,,,FALSE,Profit and Loss,EBITDA,Other Income and Expenses,
